exp;method;block_size;run;pi;error;time
26;CUDA kernel;;0;3,141592653589794;8,881784197001252e-16;0,0495
26;CUDA kernel;;1;3,141592653589794;8,881784197001252e-16;0,0495
26;CUDA kernel;;2;3,141592653589794;8,881784197001252e-16;0,0492
26;CUDA kernel;;3;3,141592653589794;8,881784197001252e-16;0,0479
26;CUDA kernel;;4;3,141592653589794;8,881784197001252e-16;0,0479
26;CUDA kernel;;5;3,141592653589794;8,881784197001252e-16;0,0479
26;CUDA kernel;;6;3,141592653589794;8,881784197001252e-16;0,0515
26;CUDA kernel;;7;3,141592653589794;8,881784197001252e-16;0,0511
26;CUDA kernel;;8;3,141592653589794;8,881784197001252e-16;0,0508
26;CUDA kernel;;9;3,141592653589794;8,881784197001252e-16;0,0553
26;Numba vectorize;;0;3,141592653589794;8,881784197001252e-16;0,8774
26;Numba vectorize;;1;3,141592653589794;8,881784197001252e-16;1,0546
26;Numba vectorize;;2;3,141592653589794;8,881784197001252e-16;0,9050
26;Numba vectorize;;3;3,141592653589794;8,881784197001252e-16;0,8376
26;Numba vectorize;;4;3,141592653589794;8,881784197001252e-16;0,8382
26;Numba vectorize;;5;3,141592653589794;8,881784197001252e-16;0,8270
26;Numba vectorize;;6;3,141592653589794;8,881784197001252e-16;0,8522
26;Numba vectorize;;7;3,141592653589794;8,881784197001252e-16;0,8696
26;Numba vectorize;;8;3,141592653589794;8,881784197001252e-16;0,9030
26;Numba vectorize;;9;3,141592653589794;8,881784197001252e-16;0,8438
26;Numba guvectorize;1024;0;3,141592653589793;0,0;0,1648
26;Numba guvectorize;1024;1;3,141592653589793;0,0;0,1847
26;Numba guvectorize;1024;2;3,141592653589793;0,0;0,1777
26;Numba guvectorize;1024;3;3,141592653589793;0,0;0,1773
26;Numba guvectorize;1024;4;3,141592653589793;0,0;0,2022
26;Numba guvectorize;1024;5;3,141592653589793;0,0;0,1901
26;Numba guvectorize;1024;6;3,141592653589793;0,0;0,1971
26;Numba guvectorize;1024;7;3,141592653589793;0,0;0,2086
26;Numba guvectorize;1024;8;3,141592653589793;0,0;0,1869
26;Numba guvectorize;1024;9;3,141592653589793;0,0;0,1936
26;Numba guvectorize;2048;0;3,1415926535897936;4,440892098500626e-16;0,1980
26;Numba guvectorize;2048;1;3,1415926535897936;4,440892098500626e-16;0,1866
26;Numba guvectorize;2048;2;3,1415926535897936;4,440892098500626e-16;0,2064
26;Numba guvectorize;2048;3;3,1415926535897936;4,440892098500626e-16;0,1959
26;Numba guvectorize;2048;4;3,1415926535897936;4,440892098500626e-16;0,1904
26;Numba guvectorize;2048;5;3,1415926535897936;4,440892098500626e-16;0,2052
26;Numba guvectorize;2048;6;3,1415926535897936;4,440892098500626e-16;0,1882
26;Numba guvectorize;2048;7;3,1415926535897936;4,440892098500626e-16;0,1997
26;Numba guvectorize;2048;8;3,1415926535897936;4,440892098500626e-16;0,1974
26;Numba guvectorize;2048;9;3,1415926535897936;4,440892098500626e-16;0,1876
26;Numba guvectorize;4096;0;3,141592653589793;0,0;0,2190
26;Numba guvectorize;4096;1;3,141592653589793;0,0;0,1974
26;Numba guvectorize;4096;2;3,141592653589793;0,0;0,1971
26;Numba guvectorize;4096;3;3,141592653589793;0,0;0,2130
26;Numba guvectorize;4096;4;3,141592653589793;0,0;0,1969
26;Numba guvectorize;4096;5;3,141592653589793;0,0;0,2019
26;Numba guvectorize;4096;6;3,141592653589793;0,0;0,2094
26;Numba guvectorize;4096;7;3,141592653589793;0,0;0,1968
26;Numba guvectorize;4096;8;3,141592653589793;0,0;0,2058
26;Numba guvectorize;4096;9;3,141592653589793;0,0;0,2051
28;CUDA kernel;;0;3,141592653589793;0,0;0,1072
28;CUDA kernel;;1;3,141592653589793;0,0;0,1073
28;CUDA kernel;;2;3,141592653589793;0,0;0,1072
28;CUDA kernel;;3;3,141592653589793;0,0;0,1073
28;CUDA kernel;;4;3,141592653589793;0,0;0,1073
28;CUDA kernel;;5;3,141592653589793;0,0;0,1076
28;CUDA kernel;;6;3,141592653589793;0,0;0,1072
28;CUDA kernel;;7;3,141592653589793;0,0;0,1075
28;CUDA kernel;;8;3,141592653589793;0,0;0,1082
28;CUDA kernel;;9;3,141592653589793;0,0;0,1077
28;Numba guvectorize;1024;0;3,141592653589793;0,0;0,7968
28;Numba guvectorize;1024;1;3,141592653589793;0,0;0,7808
28;Numba guvectorize;1024;2;3,141592653589793;0,0;0,8263
28;Numba guvectorize;1024;3;3,141592653589793;0,0;0,8274
28;Numba guvectorize;1024;4;3,141592653589793;0,0;0,8280
28;Numba guvectorize;1024;5;3,141592653589793;0,0;0,8459
28;Numba guvectorize;1024;6;3,141592653589793;0,0;0,7701
28;Numba guvectorize;1024;7;3,141592653589793;0,0;0,7763
28;Numba guvectorize;1024;8;3,141592653589793;0,0;0,7659
28;Numba guvectorize;1024;9;3,141592653589793;0,0;0,7788
28;Numba guvectorize;2048;0;3,141592653589793;0,0;0,7702
28;Numba guvectorize;2048;1;3,141592653589793;0,0;0,7795
28;Numba guvectorize;2048;2;3,141592653589793;0,0;0,8271
28;Numba guvectorize;2048;3;3,141592653589793;0,0;0,8145
28;Numba guvectorize;2048;4;3,141592653589793;0,0;0,8196
