exp=20, L=32, B=16, G=512
0 82025 0.2377s 0.1649s
1 82025 0.1598s 0.1569s
1 82025 0.1496s 0.1447s
0 82025 0.1421s 0.1423s
0 82025 0.1514s 0.1572s
1 82025 0.1464s 0.1501s
1 82025 0.1569s 0.1580s
0 82025 0.1454s 0.1423s
0 82025 0.1418s 0.1425s
1 82025 0.1453s 0.1423s
exp=20, L=32, B=32, G=1024
1 82025 0.0721s 0.0720s
0 82025 0.0723s 0.0750s
1 82025 0.0723s 0.0720s
0 82025 0.0721s 0.0719s
0 82025 0.0722s 0.0736s
0 82025 0.0765s 0.0719s
0 82025 0.0722s 0.0721s
0 82025 0.0722s 0.0721s
0 82025 0.0770s 0.0719s
0 82025 0.0721s 0.0719s
exp=20, L=32, B=64, G=2048
0 82025 0.0396s 0.0393s
0 82025 0.0397s 0.0391s
0 82025 0.0428s 0.0423s
1 82025 0.0444s 0.0392s
0 82025 0.0396s 0.0391s
0 82025 0.0395s 0.0390s
0 82025 0.0645s 0.0657s
0 82025 0.0602s 0.0541s
0 82025 0.0398s 0.0391s
0 82025 0.0399s 0.0391s
exp=20, L=32, B=128, G=4096
0 82025 0.0222s 0.0216s
1 82025 0.0330s 0.0324s
0 82025 0.0502s 0.0430s
0 82025 0.0366s 0.0359s
0 82025 0.0366s 0.0358s
0 82025 0.0500s 0.0609s
0 82025 0.0360s 0.0354s
0 82025 0.0363s 0.0359s
0 82025 0.0430s 0.0487s
1 82025 0.0399s 0.0393s
exp=20, L=32, B=256, G=8192
0 82025 0.0369s 0.0364s
0 82025 0.0369s 0.0419s
0 82025 0.0355s 0.0347s
0 82025 0.0352s 0.0346s
0 82025 0.0486s 0.0478s
0 82025 0.0348s 0.0349s
0 82025 0.0354s 0.0348s
0 82025 0.0370s 0.0477s
0 82025 0.0361s 0.0357s
0 82025 0.0362s 0.0358s
exp=20, L=64, B=16, G=1024
0 82025 0.1355s 0.0896s
0 82025 0.0725s 0.0721s
0 82025 0.0724s 0.0752s
0 82025 0.0770s 0.0738s
0 82025 0.0723s 0.0723s
0 82025 0.0724s 0.0720s
0 82025 0.0767s 0.0768s
0 82025 0.0726s 0.0720s
0 82025 0.0725s 0.0722s
0 82025 0.0752s 0.0785s
exp=20, L=64, B=32, G=2048
0 82025 0.0400s 0.0391s
0 82025 0.0396s 0.0390s
0 82025 0.0398s 0.0391s
0 82025 0.0397s 0.0394s
0 82025 0.0481s 0.0455s
0 82025 0.0593s 0.0530s
0 82025 0.0523s 0.0516s
0 82025 0.0405s 0.0398s
0 82025 0.0414s 0.0400s
0 82025 0.0401s 0.0425s
exp=20, L=64, B=64, G=4096
0 82025 0.0221s 0.0215s
0 82025 0.0220s 0.0216s
0 82025 0.0222s 0.0214s
0 82025 0.0343s 0.0340s
0 82025 0.0417s 0.0412s
1 82025 0.0460s 0.0441s
1 82025 0.0397s 0.0388s
0 82025 0.0399s 0.0427s
0 82025 0.0378s 0.0371s
1 82025 0.0376s 0.0374s
exp=20, L=64, B=128, G=8192
1 82025 0.0304s 0.0353s
0 82025 0.0236s 0.0236s
1 82025 0.0240s 0.0250s
0 82025 0.0236s 0.0248s
1 82025 0.0284s 0.0280s
0 82025 0.0303s 0.0296s
0 82025 0.0320s 0.0272s
1 82025 0.0311s 0.0311s
0 82025 0.0241s 0.0235s
1 82025 0.0239s 0.0239s
exp=20, L=64, B=256, G=16384
0 82025 0.0227s 0.0225s
1 82025 0.0248s 0.0238s
1 82025 0.0224s 0.0210s
1 82025 0.0226s 0.0212s
0 82025 0.0283s 0.0287s
1 82025 0.0234s 0.0233s
0 82025 0.0234s 0.0232s
1 82025 0.0280s 0.0230s
1 82025 0.0231s 0.0230s
0 82025 0.0228s 0.0227s
exp=20, L=128, B=16, G=2048
1 82025 0.0742s 0.0732s
1 82025 0.0452s 0.0447s
0 82025 0.0397s 0.0392s
0 82025 0.0397s 0.0390s
0 82025 0.0429s 0.0391s
0 82025 0.0416s 0.0427s
1 82025 0.0397s 0.0392s
0 82025 0.0398s 0.0391s
0 82025 0.0399s 0.0391s
0 82025 0.0428s 0.0391s
exp=20, L=128, B=32, G=4096
1 82025 0.0222s 0.0232s
0 82025 0.0237s 0.0233s
0 82025 0.0224s 0.0215s
0 82025 0.0349s 0.0346s
0 82025 0.0425s 0.0406s
0 82025 0.0414s 0.0368s
0 82025 0.0364s 0.0363s
0 82025 0.0379s 0.0358s
0 82025 0.0420s 0.0360s
0 82025 0.0409s 0.0442s
exp=20, L=128, B=64, G=8192
1 82025 0.0292s 0.0284s
1 82025 0.0318s 0.0318s
0 82025 0.0321s 0.0254s
1 82025 0.0287s 0.0243s
0 82025 0.0246s 0.0248s
1 82025 0.0242s 0.0299s
0 82025 0.0251s 0.0248s
0 82025 0.0234s 0.0234s
0 82025 0.0255s 0.0235s
0 82025 0.0265s 0.0252s
exp=20, L=128, B=128, G=16384
0 82025 0.0228s 0.0224s
1 82025 0.0220s 0.0209s
0 82025 0.0245s 0.0243s
0 82025 0.0218s 0.0215s
0 82025 0.0282s 0.0246s
1 82025 0.0261s 0.0261s
0 82025 0.0252s 0.0235s
0 82025 0.0223s 0.0221s
0 82025 0.0247s 0.0237s
0 82025 0.0230s 0.0219s
exp=20, L=128, B=256, G=32768
1 82025 0.0194s 0.0191s
1 82025 0.0212s 0.0191s
0 82025 0.0197s 0.0191s
0 82025 0.0202s 0.0194s
1 82025 0.0203s 0.0202s
0 82025 0.0209s 0.0193s
0 82025 0.0258s 0.0257s
0 82025 0.0193s 0.0208s
0 82025 0.0192s 0.0188s
1 82025 0.0194s 0.0191s
