exp;L;B;G;run;primes_found;primes_found_atomic;time;time_atomic
20;32;16;512;0;0;82025;0,2377;0,1649
20;32;16;512;1;1;82025;0,1598;0,1569
20;32;16;512;2;1;82025;0,1496;0,1447
20;32;16;512;3;0;82025;0,1421;0,1423
20;32;16;512;4;0;82025;0,1514;0,1572
20;32;16;512;5;1;82025;0,1464;0,1501
20;32;16;512;6;1;82025;0,1569;0,1580
20;32;16;512;7;0;82025;0,1454;0,1423
20;32;16;512;8;0;82025;0,1418;0,1425
20;32;16;512;9;1;82025;0,1453;0,1423
20;32;32;1024;0;1;82025;0,0721;0,0720
20;32;32;1024;1;0;82025;0,0723;0,0750
20;32;32;1024;2;1;82025;0,0723;0,0720
20;32;32;1024;3;0;82025;0,0721;0,0719
20;32;32;1024;4;0;82025;0,0722;0,0736
20;32;32;1024;5;0;82025;0,0765;0,0719
20;32;32;1024;6;0;82025;0,0722;0,0721
20;32;32;1024;7;0;82025;0,0722;0,0721
20;32;32;1024;8;0;82025;0,0770;0,0719
20;32;32;1024;9;0;82025;0,0721;0,0719
20;32;64;2048;0;0;82025;0,0396;0,0393
20;32;64;2048;1;0;82025;0,0397;0,0391
20;32;64;2048;2;0;82025;0,0428;0,0423
20;32;64;2048;3;1;82025;0,0444;0,0392
20;32;64;2048;4;0;82025;0,0396;0,0391
20;32;64;2048;5;0;82025;0,0395;0,0390
20;32;64;2048;6;0;82025;0,0645;0,0657
20;32;64;2048;7;0;82025;0,0602;0,0541
20;32;64;2048;8;0;82025;0,0398;0,0391
20;32;64;2048;9;0;82025;0,0399;0,0391
20;32;128;4096;0;0;82025;0,0222;0,0216
20;32;128;4096;1;1;82025;0,0330;0,0324
20;32;128;4096;2;0;82025;0,0502;0,0430
20;32;128;4096;3;0;82025;0,0366;0,0359
20;32;128;4096;4;0;82025;0,0366;0,0358
20;32;128;4096;5;0;82025;0,0500;0,0609
20;32;128;4096;6;0;82025;0,0360;0,0354
20;32;128;4096;7;0;82025;0,0363;0,0359
20;32;128;4096;8;0;82025;0,0430;0,0487
20;32;128;4096;9;1;82025;0,0399;0,0393
20;32;256;8192;0;0;82025;0,0369;0,0364
20;32;256;8192;1;0;82025;0,0369;0,0419
20;32;256;8192;2;0;82025;0,0355;0,0347
20;32;256;8192;3;0;82025;0,0352;0,0346
20;32;256;8192;4;0;82025;0,0486;0,0478
20;32;256;8192;5;0;82025;0,0348;0,0349
20;32;256;8192;6;0;82025;0,0354;0,0348
20;32;256;8192;7;0;82025;0,0370;0,0477
20;32;256;8192;8;0;82025;0,0361;0,0357
20;32;256;8192;9;0;82025;0,0362;0,0358
20;64;16;1024;0;0;82025;0,1355;0,0896
20;64;16;1024;1;0;82025;0,0725;0,0721
20;64;16;1024;2;0;82025;0,0724;0,0752
20;64;16;1024;3;0;82025;0,0770;0,0738
20;64;16;1024;4;0;82025;0,0723;0,0723
20;64;16;1024;5;0;82025;0,0724;0,0720
20;64;16;1024;6;0;82025;0,0767;0,0768
20;64;16;1024;7;0;82025;0,0726;0,0720
20;64;16;1024;8;0;82025;0,0725;0,0722
20;64;16;1024;9;0;82025;0,0752;0,0785
20;64;32;2048;0;0;82025;0,0400;0,0391
20;64;32;2048;1;0;82025;0,0396;0,0390
20;64;32;2048;2;0;82025;0,0398;0,0391
20;64;32;2048;3;0;82025;0,0397;0,0394
20;64;32;2048;4;0;82025;0,0481;0,0455
20;64;32;2048;5;0;82025;0,0593;0,0530
20;64;32;2048;6;0;82025;0,0523;0,0516
20;64;32;2048;7;0;82025;0,0405;0,0398
20;64;32;2048;8;0;82025;0,0414;0,0400
20;64;32;2048;9;0;82025;0,0401;0,0425
20;64;64;4096;0;0;82025;0,0221;0,0215
20;64;64;4096;1;0;82025;0,0220;0,0216
20;64;64;4096;2;0;82025;0,0222;0,0214
20;64;64;4096;3;0;82025;0,0343;0,0340
20;64;64;4096;4;0;82025;0,0417;0,0412
20;64;64;4096;5;1;82025;0,0460;0,0441
20;64;64;4096;6;1;82025;0,0397;0,0388
20;64;64;4096;7;0;82025;0,0399;0,0427
20;64;64;4096;8;0;82025;0,0378;0,0371
20;64;64;4096;9;1;82025;0,0376;0,0374
20;64;128;8192;0;1;82025;0,0304;0,0353
20;64;128;8192;1;0;82025;0,0236;0,0236
20;64;128;8192;2;1;82025;0,0240;0,0250
20;64;128;8192;3;0;82025;0,0236;0,0248
20;64;128;8192;4;1;82025;0,0284;0,0280
20;64;128;8192;5;0;82025;0,0303;0,0296
20;64;128;8192;6;0;82025;0,0320;0,0272
20;64;128;8192;7;1;82025;0,0311;0,0311
20;64;128;8192;8;0;82025;0,0241;0,0235
20;64;128;8192;9;1;82025;0,0239;0,0239
20;64;256;16384;0;0;82025;0,0227;0,0225
20;64;256;16384;1;1;82025;0,0248;0,0238
20;64;256;16384;2;1;82025;0,0224;0,0210
20;64;256;16384;3;1;82025;0,0226;0,0212
20;64;256;16384;4;0;82025;0,0283;0,0287
20;64;256;16384;5;1;82025;0,0234;0,0233
20;64;256;16384;6;0;82025;0,0234;0,0232
20;64;256;16384;7;1;82025;0,0280;0,0230
20;64;256;16384;8;1;82025;0,0231;0,0230
20;64;256;16384;9;0;82025;0,0228;0,0227
20;128;16;2048;0;1;82025;0,0742;0,0732
20;128;16;2048;1;1;82025;0,0452;0,0447
20;128;16;2048;2;0;82025;0,0397;0,0392
20;128;16;2048;3;0;82025;0,0397;0,0390
20;128;16;2048;4;0;82025;0,0429;0,0391
20;128;16;2048;5;0;82025;0,0416;0,0427
20;128;16;2048;6;1;82025;0,0397;0,0392
20;128;16;2048;7;0;82025;0,0398;0,0391
20;128;16;2048;8;0;82025;0,0399;0,0391
20;128;16;2048;9;0;82025;0,0428;0,0391
20;128;32;4096;0;1;82025;0,0222;0,0232
20;128;32;4096;1;0;82025;0,0237;0,0233
20;128;32;4096;2;0;82025;0,0224;0,0215
20;128;32;4096;3;0;82025;0,0349;0,0346
20;128;32;4096;4;0;82025;0,0425;0,0406
20;128;32;4096;5;0;82025;0,0414;0,0368
20;128;32;4096;6;0;82025;0,0364;0,0363
20;128;32;4096;7;0;82025;0,0379;0,0358
20;128;32;4096;8;0;82025;0,0420;0,0360
20;128;32;4096;9;0;82025;0,0409;0,0442
20;128;64;8192;0;1;82025;0,0292;0,0284
20;128;64;8192;1;1;82025;0,0318;0,0318
20;128;64;8192;2;0;82025;0,0321;0,0254
20;128;64;8192;3;1;82025;0,0287;0,0243
20;128;64;8192;4;0;82025;0,0246;0,0248
20;128;64;8192;5;1;82025;0,0242;0,0299
20;128;64;8192;6;0;82025;0,0251;0,0248
20;128;64;8192;7;0;82025;0,0234;0,0234
20;128;64;8192;8;0;82025;0,0255;0,0235
20;128;64;8192;9;0;82025;0,0265;0,0252
20;128;128;16384;0;0;82025;0,0228;0,0224
20;128;128;16384;1;1;82025;0,0220;0,0209
20;128;128;16384;2;0;82025;0,0245;0,0243
20;128;128;16384;3;0;82025;0,0218;0,0215
20;128;128;16384;4;0;82025;0,0282;0,0246
20;128;128;16384;5;1;82025;0,0261;0,0261
20;128;128;16384;6;0;82025;0,0252;0,0235
20;128;128;16384;7;0;82025;0,0223;0,0221
20;128;128;16384;8;0;82025;0,0247;0,0237
20;128;128;16384;9;0;82025;0,0230;0,0219
20;128;256;32768;0;1;82025;0,0194;0,0191
20;128;256;32768;1;1;82025;0,0212;0,0191
20;128;256;32768;2;0;82025;0,0197;0,0191
20;128;256;32768;3;0;82025;0,0202;0,0194
20;128;256;32768;4;1;82025;0,0203;0,0202
20;128;256;32768;5;0;82025;0,0209;0,0193
20;128;256;32768;6;0;82025;0,0258;0,0257
20;128;256;32768;7;0;82025;0,0193;0,0208
20;128;256;32768;8;0;82025;0,0192;0,0188
20;128;256;32768;9;1;82025;0,0194;0,0191
20;256;16;4096;0;1;82025;0,0531;0,0523
20;256;16;4096;1;1;82025;0,0435;0,0388
20;256;16;4096;2;1;82025;0,0393;0,0389
20;256;16;4096;3;0;82025;0,0471;0,0462
20;256;16;4096;4;1;82025;0,0433;0,0383
20;256;16;4096;5;0;82025;0,0396;0,0391
20;256;16;4096;6;1;82025;0,0505;0,0488
20;256;16;4096;7;1;82025;0,0424;0,0397
20;256;16;4096;8;1;82025;0,0366;0,0354
20;256;16;4096;9;0;82025;0,0366;0,0358
20;256;32;8192;0;1;82025;0,0276;0,0306
20;256;32;8192;1;1;82025;0,0265;0,0255
20;256;32;8192;2;0;82025;0,0270;0,0255
20;256;32;8192;3;1;82025;0,0268;0,0271
20;256;32;8192;4;1;82025;0,0276;0,0266
20;256;32;8192;5;1;82025;0,0284;0,0257
20;256;32;8192;6;1;82025;0,0259;0,0249
20;256;32;8192;7;0;82025;0,0295;0,0248
20;256;32;8192;8;1;82025;0,0311;0,0260
20;256;32;8192;9;0;82025;0,0265;0,0274
20;256;64;16384;0;1;82025;0,0245;0,0221
20;256;64;16384;1;1;82025;0,0225;0,0221
20;256;64;16384;2;1;82025;0,0231;0,0260
20;256;64;16384;3;1;82025;0,0266;0,0221
20;256;64;16384;4;1;82025;0,0240;0,0225
20;256;64;16384;5;1;82025;0,0240;0,0240
20;256;64;16384;6;1;82025;0,0272;0,0227
20;256;64;16384;7;1;82025;0,0240;0,0224
20;256;64;16384;8;1;82025;0,0237;0,0241
20;256;64;16384;9;0;82025;0,0267;0,0223
20;256;128;32768;0;1;82025;0,0250;0,0196
20;256;128;32768;1;1;82025;0,0200;0,0217
20;256;128;32768;2;1;82025;0,0215;0,0196
20;256;128;32768;3;1;82025;0,0274;0,0328
20;256;128;32768;4;1;82025;0,0243;0,0249
20;256;128;32768;5;1;82025;0,0219;0,0213
20;256;128;32768;6;1;82025;0,0209;0,0201
20;256;128;32768;7;1;82025;0,0212;0,0201
20;256;128;32768;8;1;82025;0,0209;0,0204
20;256;128;32768;9;1;82025;0,0201;0,0197
20;256;256;65536;0;1;82025;0,0209;0,0183
20;256;256;65536;1;0;82025;0,0208;0,0182
20;256;256;65536;2;1;82025;0,0184;0,0179
20;256;256;65536;3;1;82025;0,0186;0,0199
20;256;256;65536;4;1;82025;0,0205;0,0177
20;256;256;65536;5;1;82025;0,0249;0,0320
20;256;256;65536;6;1;82025;0,0310;0,0338
20;256;256;65536;7;1;82025;0,0282;0,0261
20;256;256;65536;8;0;82025;0,0192;0,0209
20;256;256;65536;9;0;82025;0,0190;0,0187
20;512;16;8192;0;1;82025;0,0330;0,0350
20;512;16;8192;1;1;82025;0,0381;0,0406
20;512;16;8192;2;1;82025;0,0379;0,0405
20;512;16;8192;3;1;82025;0,0376;0,0370
20;512;16;8192;4;1;82025;0,0404;0,0428
20;512;16;8192;5;1;82025;0,0373;0,0314
20;512;16;8192;6;1;82025;0,0341;0,0331
20;512;16;8192;7;1;82025;0,0323;0,0314
20;512;16;8192;8;1;82025;0,0367;0,0340
20;512;16;8192;9;1;82025;0,0363;0,0324
20;512;32;16384;0;1;82025;0,0265;0,0246
20;512;32;16384;1;1;82025;0,0248;0,0251
20;512;32;16384;2;1;82025;0,0252;0,0252
20;512;32;16384;3;1;82025;0,0247;0,0288
20;512;32;16384;4;1;82025;0,0312;0,0326
20;512;32;16384;5;1;82025;0,0256;0,0245
20;512;32;16384;6;1;82025;0,0273;0,0265
20;512;32;16384;7;1;82025;0,0253;0,0255
20;512;32;16384;8;1;82025;0,0264;0,0266
20;512;32;16384;9;1;82025;0,0284;0,0311
20;512;64;32768;0;1;82025;0,0218;0,0216
20;512;64;32768;1;1;82025;0,0205;0,0196
20;512;64;32768;2;1;82025;0,0247;0,0209
20;512;64;32768;3;1;82025;0,0206;0,0215
20;512;64;32768;4;1;82025;0,0193;0,0204
20;512;64;32768;5;1;82025;0,0213;0,0214
20;512;64;32768;6;1;82025;0,0197;0,0208
20;512;64;32768;7;1;82025;0,0206;0,0203
20;512;64;32768;8;1;82025;0,0230;0,0238
20;512;64;32768;9;1;82025;0,0209;0,0201
20;512;128;65536;0;0;82025;0,0266;0,0249
20;512;128;65536;1;1;82025;0,0282;0,0259
20;512;128;65536;2;1;82025;0,0322;0,0296
20;512;128;65536;3;1;82025;0,0208;0,0202
20;512;128;65536;4;1;82025;0,0248;0,0199
20;512;128;65536;5;1;82025;0,0246;0,0202
20;512;128;65536;6;1;82025;0,0192;0,0185
20;512;128;65536;7;1;82025;0,0192;0,0219
20;512;128;65536;8;1;82025;0,0213;0,0207
20;512;128;65536;9;1;82025;0,0226;0,0235
20;512;256;131072;0;1;82025;0,0190;0,0200
20;512;256;131072;1;1;82025;0,0233;0,0179
20;512;256;131072;2;1;82025;0,0185;0,0179
20;512;256;131072;3;1;82025;0,0209;0,0199
20;512;256;131072;4;1;82025;0,0191;0,0219
20;512;256;131072;5;1;82025;0,0208;0,0184
20;512;256;131072;6;1;82025;0,0189;0,0216
20;512;256;131072;7;1;82025;0,0202;0,0180
20;512;256;131072;8;1;82025;0,0187;0,0199
20;512;256;131072;9;1;82025;0,0228;0,0216
22;32;16;512;0;0;295947;1,2682;1,1583
22;32;16;512;1;1;295947;1,1472;1,1521
22;32;16;512;2;0;295947;1,1519;1,1527
22;32;16;512;3;1;295947;1,1497;1,1490
22;32;16;512;4;0;295947;1,1479;1,1513
22;32;16;512;5;1;295947;1,1457;1,1457
22;32;16;512;6;1;295947;1,1433;1,1481
22;32;16;512;7;1;295947;1,1433;1,1499
22;32;16;512;8;1;295947;1,1382;1,1517
22;32;16;512;9;1;295947;1,1404;1,1548
22;32;32;1024;0;0;295947;0,5738;0,5789
22;32;32;1024;1;0;295947;0,5771;0,5757
22;32;32;1024;2;0;295947;0,5783;0,5791
22;32;32;1024;3;0;295947;0,5780;0,5838
22;32;32;1024;4;0;295947;0,5746;0,5802
22;32;32;1024;5;0;295947;0,5719;0,5742
22;32;32;1024;6;1;295947;0,5751;0,5748
22;32;32;1024;7;0;295947;0,5808;0,5789
22;32;32;1024;8;0;295947;0,5762;0,5813
22;32;32;1024;9;0;295947;0,5757;0,5808
22;32;64;2048;0;0;295947;0,3104;0,3037
22;32;64;2048;1;0;295947;0,3021;0,3132
22;32;64;2048;2;0;295947;0,3105;0,3093
22;32;64;2048;3;0;295947;0,3113;0,3034
22;32;64;2048;4;0;295947;0,3057;0,3101
22;32;64;2048;5;0;295947;0,3085;0,3129
22;32;64;2048;6;0;295947;0,3143;0,3044
22;32;64;2048;7;0;295947;0,3066;0,3058
22;32;64;2048;8;1;295947;0,3021;0,3143
22;32;64;2048;9;0;295947;0,3106;0,3102
22;32;128;4096;0;0;295947;0,1677;0,1697
22;32;128;4096;1;0;295947;0,1720;0,1682
22;32;128;4096;2;0;295947;0,1724;0,1653
22;32;128;4096;3;0;295947;0,1707;0,1611
22;32;128;4096;4;0;295947;0,1661;0,1635
22;32;128;4096;5;0;295947;0,1627;0,1670
22;32;128;4096;6;0;295947;0,1636;0,1703
22;32;128;4096;7;1;295947;0,1668;0,1707
22;32;128;4096;8;0;295947;0,1735;0,1673
22;32;128;4096;9;0;295947;0,1702;0,1624
22;32;256;8192;0;1;295947;0,1623;0,1568
22;32;256;8192;1;0;295947;0,1595;0,1629
22;32;256;8192;2;0;295947;0,1560;0,1660
22;32;256;8192;3;0;295947;0,1610;0,1641
22;32;256;8192;4;1;295947;0,1625;0,1647
22;32;256;8192;5;0;295947;0,1711;0,1624
22;32;256;8192;6;0;295947;0,1657;0,1592
22;32;256;8192;7;0;295947;0,1627;0,1563
22;32;256;8192;8;0;295947;0,1591;0,1629
22;32;256;8192;9;1;295947;0,1561;0,1659
22;64;16;1024;0;0;295947;0,5725;0,5784
22;64;16;1024;1;0;295947;0,5752;0,5750
22;64;16;1024;2;0;295947;0,5759;0,5807
22;64;16;1024;3;0;295947;0,5797;0,5802
22;64;16;1024;4;0;295947;0,5780;0,5814
22;64;16;1024;5;0;295947;0,5740;0,5797
22;64;16;1024;6;0;295947;0,5777;0,5767
22;64;16;1024;7;0;295947;0,5742;0,5830
22;64;16;1024;8;0;295947;0,5773;0,5751
22;64;16;1024;9;0;295947;0,5756;0,5795
22;64;32;2048;0;0;295947;0,3088;0,3072
22;64;32;2048;1;0;295947;0,3073;0,3086
22;64;32;2048;2;1;295947;0,3123;0,3103
22;64;32;2048;3;0;295947;0,3135;0,3088
22;64;32;2048;4;0;295947;0,3052;0,3078
22;64;32;2048;5;0;295947;0,3039;0,3149
22;64;32;2048;6;1;295947;0,3128;0,3057
22;64;32;2048;7;0;295947;0,3078;0,3060
22;64;32;2048;8;0;295947;0,3026;0,3152
22;64;32;2048;9;0;295947;0,3087;0,3100
22;64;64;4096;0;0;295947;0,1663;0,1709
22;64;64;4096;1;0;295947;0,1726;0,1665
22;64;64;4096;2;0;295947;0,1680;0,1678
22;64;64;4096;3;0;295947;0,1678;0,1615
22;64;64;4096;4;0;295947;0,1677;0,1663
22;64;64;4096;5;0;295947;0,1618;0,1711
22;64;64;4096;6;1;295947;0,1649;0,1715
22;64;64;4096;7;0;295947;0,1727;0,1679
22;64;64;4096;8;1;295947;0,1680;0,1693
22;64;64;4096;9;0;295947;0,1679;0,1631
22;64;128;8192;0;1;295947;0,1069;0,1029
22;64;128;8192;1;1;295947;0,1033;0,1063
22;64;128;8192;2;0;295947;0,1063;0,1058
22;64;128;8192;3;0;295947;0,1064;0,1032
22;64;128;8192;4;0;295947;0,1103;0,1028
22;64;128;8192;5;0;295947;0,1086;0,1067
22;64;128;8192;6;0;295947;0,1081;0,1074
22;64;128;8192;7;0;295947;0,1067;0,1078
22;64;128;8192;8;1;295947;0,1018;0,1098
22;64;128;8192;9;0;295947;0,1016;0,1072
22;64;256;16384;0;0;295947;0,0993;0,0959
22;64;256;16384;1;0;295947;0,0942;0,0942
22;64;256;16384;2;0;295947;0,0961;0,0939
22;64;256;16384;3;1;295947;0,0940;0,0955
